adcode,province,city,name,suit,reason
210402,辽宁,抚顺市,新抚区,限制主导,大伙房水源与城市建成区叠加，不适宜虹鳟规模化养殖。
210403,辽宁,抚顺市,东洲区,限制主导,邻近大伙房库尾与城市河段，水源保护优先。
210404,辽宁,抚顺市,望花区,不适宜,工业城区与浑河中游，夏季水温与水质均不匹配。
220605,吉林,白山市,江源区,高度适宜,长白山腹地山泉1–17℃，白山森源良种场所在地，东北山区虹鳟三倍体试验点。
220621,吉林,白山市,抚松县,高度适宜,松花江源头区，山泉、溪流水量稳定，是东部冷水鱼重点县。
220622,吉林,白山市,靖宇县,高度适宜,矿泉与山溪冷水资源突出，已开展三倍体虹鳟大水面生态网箱试验。
220623,吉林,白山市,长白朝鲜族自治县,高度适宜,鸭绿江上游十五道沟等地8–12月山泉水温约7.7–12.4℃，溶氧高。
220681,吉林,白山市,临江市,高度适宜,鸭绿江右岸支流众多，山高林密，适合流水池塘养鳟。
222426,吉林,延边朝鲜族自治州,安图县,高度适宜,二道白河等长白山北坡冷溪，水温低、水质优，需避让自然保护区核心区。
220602,吉林,白山市,浑江区,适宜,浑江上游山溪，与江源、临江产业带相连。
222403,吉林,延边朝鲜族自治州,敦化市,适宜,牡丹江上游及雁鸣湖周边山溪，冷水条件较好。
222406,吉林,延边朝鲜族自治州,和龙市,适宜,图们江支流海兰江上游山溪，适合流水养殖。
222424,吉林,延边朝鲜族自治州,汪清县,适宜,嘎呀河上游林区溪流冷凉清澈。
222405,吉林,延边朝鲜族自治州,龙井市,适宜,海兰江中上游，局部山泉可养，需控制面源。
220521,吉林,通化市,通化县,适宜,浑江支流山溪，注意作为桓仁水库上游汇水的排污与投饲约束。
220524,吉林,通化市,柳河县,适宜,哈泥河等山溪具备冷水鱼潜力。
220523,吉林,通化市,辉南县,适宜,龙湾火山口湖群及山溪，水温低，部分水域属保护地。
220582,吉林,通化市,集安市,适宜,鸭绿江中游右岸及新开河，山溪适宜，干流夏季略偏暖。
220282,吉林,吉林市,桦甸市,适宜,白山湖、红石湖区间山溪资源好，湖区本身受梯级电站与水源约束。
220281,吉林,吉林市,蛟河市,适宜,威虎岭山溪及松花湖东岸支流，湖区网箱/拦网已退出。
222404,吉林,延边朝鲜族自治州,珲春市,条件适宜,图们江下游及密江，春秋可养，盛夏干流升温；河口湿地保护优先。
222401,吉林,延边朝鲜族自治州,延吉市,条件适宜,布尔哈通河城区段水质与夏季水温一般，宜设施化利用山泉。
222402,吉林,延边朝鲜族自治州,图们市,条件适宜,图们江干流，跨境河流管理与夏季升温是限制因素。
220284,吉林,吉林市,磐石市,条件适宜,低山丘陵溪流，盛夏易超20℃，宜选阴坡山泉。
220283,吉林,吉林市,舒兰市,条件适宜,张广才岭西麓局部冷溪，平原河段不适宜。
220421,吉林,辽源市,东丰县,条件适宜,哈达岭余脉山溪小规模可养。
220581,吉林,通化市,梅河口市,条件适宜,辉发河中游夏季偏暖，山溪支流可补充冷水。
220211,吉林,吉林市,丰满区,限制主导,松花湖/丰满水库为中部城市引松供水水源，拦网已拆除，禁止投饲网箱。
220221,吉林,吉林市,永吉县,限制主导,松花湖西岸汇水与水源保护区叠加。
231084,黑龙江,牡丹江市,宁安市,高度适宜,中国虹鳟养殖发源地（渤海镇钻心湖/镜心湖），地理标志“宁安虹鳟鱼”，涌泉冬不结冰。
231083,黑龙江,牡丹江市,海林市,高度适宜,张广才岭山溪 + 莲花湖大水面，已开展虹鳟网箱示范，冷水鱼产业重点县。
230719,黑龙江,伊春市,友好区,高度适宜,小兴安岭腹地，已建冷水鱼基地，山溪溶氧高、夏季凉爽。
230723,黑龙江,伊春市,汤旺县,高度适宜,汤旺河上游冷溪，水温长期处于虹鳟适温区。
230724,黑龙江,伊春市,丰林县,高度适宜,红松林区山溪，水质优、人类活动干扰小。
230718,黑龙江,伊春市,乌翠区,高度适宜,汤旺河沿岸山溪，与友好、伊美连片。
230717,黑龙江,伊春市,伊美区,高度适宜,伊春河/汤旺河交汇山地，冷水资源稳定。
231085,黑龙江,牡丹江市,穆棱市,适宜,穆棱河上游林区溪流，适合流水养鳟。
231086,黑龙江,牡丹江市,东宁市,适宜,绥芬河水系山溪，水温冷凉。
231025,黑龙江,牡丹江市,林口县,适宜,牡丹江支流及五林河山溪。
230183,黑龙江,哈尔滨市,尚志市,适宜,亚布力—帽儿山一带山溪，冷水条件好。
230184,黑龙江,哈尔滨市,五常市,适宜,拉林河上游山溪，山地乡镇适宜，平原灌区夏季偏暖。
230129,黑龙江,哈尔滨市,延寿县,适宜,蚂蜒河山溪，水质清澈。
230124,黑龙江,哈尔滨市,方正县,适宜,蚂蚁河及山林溪流，冷水性鱼类资源本底好。
230128,黑龙江,哈尔滨市,通河县,适宜,小兴安岭南麓山溪汇入松花江，宜在支流而非干流养殖。
230127,黑龙江,哈尔滨市,木兰县,适宜,木兰达河上游冷溪。
230726,黑龙江,伊春市,南岔县,适宜,汤旺河中游山地。
230725,黑龙江,伊春市,大箐山县,适宜,小兴安岭山溪，生长季略短。
230751,黑龙江,伊春市,金林区,适宜,森林溪流，适合流水池塘。
230722,黑龙江,伊春市,嘉荫县,适宜,黑龙江右岸山溪，干流本身更宜土著冷水鱼增殖。
231182,黑龙江,黑河市,五大连池市,适宜,规划以山口湖为核心发展虹鳟、细鳞等，矿泉冷水特色明显；风景名胜区水体限制开发。
231123,黑龙江,黑河市,逊克县,适宜,沾河等山溪冷凉，适合冷水鱼。
231124,黑龙江,黑河市,孙吴县,适宜,小兴安岭西北麓溪流。
231226,黑龙江,绥化市,绥棱县,适宜,小兴安岭西麓山溪，是绥化少数具备虹鳟条件的县。
231224,黑龙江,绥化市,庆安县,适宜,呼兰河上游山溪。
230421,黑龙江,鹤岗市,萝北县,适宜,黑龙江沿岸山溪及湿地边缘冷水。
230781,黑龙江,伊春市,铁力市,适宜,呼兰河源区山溪。
231002,黑龙江,牡丹江市,东安区,条件适宜,牡丹江城区河段，宜利用上游来水或设施循环水。
231003,黑龙江,牡丹江市,阳明区,条件适宜,城区边缘山溪可利用。
231004,黑龙江,牡丹江市,爱民区,条件适宜,北侧山溪条件尚可。
231005,黑龙江,牡丹江市,西安区,条件适宜,牡丹江干流城区段夏季可接近20℃。
230112,黑龙江,哈尔滨市,阿城区,条件适宜,阿什河上游山溪局部可养。
230125,黑龙江,哈尔滨市,宾县,条件适宜,二龙山水库及山溪，水库多承担供水/防洪。
230123,黑龙江,哈尔滨市,依兰县,条件适宜,牡丹江入松花江口，干流夏季偏暖，支流山溪可用。
231102,黑龙江,黑河市,爱辉区,条件适宜,黑龙江干流段，更适合哲罗、细鳞等土著冷水鱼。
231181,黑龙江,黑河市,北安市,条件适宜,丘陵水库群，部分可作冷水鱼配套。
231183,黑龙江,黑河市,嫩江市,条件适宜,嫩江上游冷凉，但生长季短、春季融雪浊度高。
230881,黑龙江,佳木斯市,同江市,条件适宜,冷水渔业振兴政策覆盖，水域以黑龙江、松花江干流为主，虹鳟宜设施化而非敞水。
230883,黑龙江,佳木斯市,抚远市,条件适宜,三江汇流，土著冷水鱼与鲟鳇优先，保护区约束强。
232701,黑龙江,大兴安岭地区,漠河市,条件适宜,水温过低、冰封期长，虹鳟生长季短，更宜土著冷水鱼或季节性养殖。
232722,黑龙江,大兴安岭地区,塔河县,条件适宜,生长季短，山溪水质优。
232721,黑龙江,大兴安岭地区,呼玛县,条件适宜,呼玛河冷水，生长积温不足。
232718,黑龙江,大兴安岭地区,加格达奇区,条件适宜,甘河上游山溪。
230382,黑龙江,鸡西市,密山市,条件适宜,兴凯湖属国家级自然保护区，湖区禁养；周边山溪/池塘可有条件发展。
230381,黑龙江,鸡西市,虎林市,条件适宜,乌苏里江与湿地保护约束，山溪局部可养。
230321,黑龙江,鸡西市,鸡东县,条件适宜,穆棱河中游，盛夏可能偏暖。
230921,黑龙江,七台河市,勃利县,条件适宜,倭肯河上游丘陵溪流。
230828,黑龙江,佳木斯市,汤原县,条件适宜,汤旺河下游入松花江，干流夏季升温。
